Peru,"5,700","5,455","6,470","7,394","1,511",-421,"1,444","1,054","1,092",624,867,"1,005"
Venezuela,"3,174","2,338","2,168","1,647",-701,-963,-159,117,-225,50,-368,-158
Other,"3,240","5,367","6,350","20,840","-3,773",-34,-51,(D),555,467,486,261
Central America,"111,631","107,381","111,467","113,001","6,511","6,854","7,954","3,157","9,924","10,327","11,200","7,064"
Costa Rica,"1,546","1,589","2,014","1,988",197,234,254,201,129,143,197,140
Honduras,"1,330","1,202","1,362","1,111",24,-446,169,-258,74,96,282,54
Mexico,"100,169","95,543","98,010","101,057","5,907","6,456","6,530","3,456","8,733","9,111","9,600","6,508"
Panama,"4,821","5,206","5,785","4,583",349,612,513,-139,605,578,726,45
Other,"3,766","3,841","4,296","4,263",34,-2,488,-103,382,399,396,316
Other Western Hemisphere,"758,114","758,586","680,845","709,240","69,077","-148,234","-23,823","18,701","83,119","86,630","81,962","77,503"
Barbados,"21,736","40,015","44,586","57,053",885,"2,597","4,499","11,116","1,208","3,197","3,527","4,641"
Bermuda,"401,435","339,399","273,240","274,576","42,588","-149,490","-31,731","-4,189","48,188","43,929","40,558","40,797"
Dominican Republic,"2,009","2,101","2,710","2,806",494,195,623,117,375,362,339,284
"United Kingdom Islands, Caribbean 1","286,601","304,716","289,959","304,816","24,604","9,334","3,635","10,042","31,880","34,340","33,776","28,502"
Other,"46,333","72,356","70,349","69,990",505,"-10,869",-849,"1,615","1,468","4,802","3,761","3,278"
Africa,"50,403","48,069","46,053","47,500",534,"-1,164","-3,393","2,079","2,485","3,561","3,784","1,758"
Egypt,"11,095","11,028","11,133","11,206",-525,-516,13,-28,581,"1,105",794,269
Nigeria,"4,844","4,504","6,572","6,811","1,354",-291,914,171,523,244,674,263
South Africa,"8,058","9,088","9,167","10,023",429,201,451,-25,596,493,602,496
Other,"26,407","23,450","19,181","19,460",-724,-557,"-4,771","1,961",784,"1,720","1,714",730
Middle East,"74,509","76,945","82,386","90,124","6,812","3,513","3,888","6,560","9,082","10,370","8,813","5,047"
Israel,"28,160","28,997","32,984","40,437","1,235",701,"3,586","7,068",814,803,"1,036",515
Saudi Arabia,"10,702","10,807","11,117","11,386",519,243,210,359,"1,165",969,872,618
United Arab Emirates,"16,881","18,055","18,441","19,468","3,386",946,-547,419,"1,597","1,399","1,429","1,383"
Other,"18,766","19,087","19,844","18,832","1,671","1,624",639,"-1,286","5,505","7,200","5,475","2,531"
Asia and Pacific,"938,668","879,968","941,721","969,647","51,759","-36,707","42,204","31,962","86,771","104,256","90,094","89,132"
Australia,"169,749","166,269","161,200","163,466",-621,"-3,273","-3,806","3,745","8,025","10,245","9,081","7,348"
China,"105,146","107,557","113,189","123,875","7,943","6,391","7,002","9,329","13,634","12,970","11,023","10,714"
Hong Kong,"79,048","81,215","89,346","92,487","1,093",611,"5,066","1,733","7,158","11,023","9,893","10,763"
India,"45,160","42,197","41,982","41,904","3,623",656,"2,581",881,"4,351","3,889","3,689","3,594"
Indonesia,"13,866","19,886","19,324","18,715",-861,"-2,978",922,-332,"1,542","3,129",573,"1,050"
Japan,"117,134","108,933","128,539","131,643","9,094","1,550","9,049","2,568","12,456","12,633","12,121","14,899"
Malaysia,"11,767","10,385","12,139","13,529","1,342",-674,157,"1,212","1,349","1,412","1,420","1,317"
New Zealand,"12,384","11,379","11,869","12,903",469,-160,299,523,881,483,466,707
Philippines,"6,926","5,562","5,612","5,199",562,238,236,19,855,428,606,264
Singapore,"293,452","232,940","260,642","270,807","23,369","-39,799","15,279","14,609","29,955","40,981","34,866","34,309"
South Korea,"40,237","37,282","38,476","33,888",668,"-1,664","2,365","-2,039","1,924","2,791","2,638","2,513"
Taiwan,"16,484","27,479","29,002","31,544",680,339,"1,113",-24,"1,416","1,397",966,732
Thailand,"15,578","16,415","17,628","17,450","1,041","1,317","1,178",324,"2,136","1,625","1,402",922
Other,"11,737","12,471","12,773","12,238","3,359",738,763,-586,"1,090","1,252","1,350",-1
European Union 2,"3,331,275","3,157,925","3,266,848","2,515,293","148,625","21,275","-30,794","87,722","258,148","251,554","263,940","179,915"
